Case 2:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15607

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0299
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_002_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36500.0/37230.0 days/days; walltime: 15.5
36552.0/37230.0 days/days; walltime: 0.1
36553.0/37230.0 days/days; walltime: 0.4
36554.0/37230.0 days/days; walltime: 0.4
36555.0/37230.0 days/days; walltime: 0.4
36556.0/37230.0 days/days; walltime: 0.2
36557.0/37230.0 days/days; walltime: 0.4
36558.0/37230.0 days/days; walltime: 0.3
36559.0/37230.0 days/days; walltime: 0.3
36560.0/37230.0 days/days; walltime: 0.4
36561.0/37230.0 days/days; walltime: 0.3
36562.0/37230.0 days/days; walltime: 0.3
36563.0/37230.0 days/days; walltime: 0.3
36564.0/37230.0 days/days; walltime: 0.4
36565.0/37230.0 days/days; walltime: 0.2
36566.0/37230.0 days/days; walltime: 0.4
36567.0/37230.0 days/days; walltime: 0.2
36568.0/37230.0 days/days; walltime: 0.3
36569.0/37230.0 days/days; walltime: 1.7
36570.0/37230.0 days/days; walltime: 0.4
36571.0/37230.0 days/days; walltime: 0.3
36572.0/37230.0 days/days; walltime: 0.1
36573.0/37230.0 days/days; walltime: 0.3
36574.0/37230.0 days/days; walltime: 0.2
36575.0/37230.0 days/days; walltime: 0.3
36576.0/37230.0 days/days; walltime: 0.1
36577.0/37230.0 days/days; walltime: 0.2
36578.0/37230.0 days/days; walltime: 0.1
36579.0/37230.0 days/days; walltime: 0.3
36580.0/37230.0 days/days; walltime: 0.1
36581.0/37230.0 days/days; walltime: 0.3
36582.0/37230.0 days/days; walltime: 0.2
36583.0/37230.0 days/days; walltime: 0.3
36584.0/37230.0 days/days; walltime: 0.0
36585.0/37230.0 days/days; walltime: 0.3
36586.0/37230.0 days/days; walltime: 0.2
36587.0/37230.0 days/days; walltime: 0.3
36588.0/37230.0 days/days; walltime: 0.1
36589.0/37230.0 days/days; walltime: 0.3
36590.0/37230.0 days/days; walltime: 0.2
36591.0/37230.0 days/days; walltime: 0.1
36592.0/37230.0 days/days; walltime: 0.3
36593.0/37230.0 days/days; walltime: 0.1
36594.0/37230.0 days/days; walltime: 0.3
36595.0/37230.0 days/days; walltime: 0.1
36596.0/37230.0 days/days; walltime: 0.3
36597.0/37230.0 days/days; walltime: 0.2
36598.0/37230.0 days/days; walltime: 0.1
36599.0/37230.0 days/days; walltime: 0.3
36600.0/37230.0 days/days; walltime: 0.0
36601.0/37230.0 days/days; walltime: 0.3
36602.0/37230.0 days/days; walltime: 0.2
36603.0/37230.0 days/days; walltime: 0.1
36604.0/37230.0 days/days; walltime: 0.3
36605.0/37230.0 days/days; walltime: 0.1
36606.0/37230.0 days/days; walltime: 0.3
36607.0/37230.0 days/days; walltime: 0.1
36608.0/37230.0 days/days; walltime: 0.1
36609.0/37230.0 days/days; walltime: 0.2
36610.0/37230.0 days/days; walltime: 0.2
36611.0/37230.0 days/days; walltime: 0.1
36612.0/37230.0 days/days; walltime: 0.2
36613.0/37230.0 days/days; walltime: 0.0
36614.0/37230.0 days/days; walltime: 0.0
36615.0/37230.0 days/days; walltime: 0.3
36616.0/37230.0 days/days; walltime: 1.8
36617.0/37230.0 days/days; walltime: 3.8
36618.0/37230.0 days/days; walltime: 2.5
36619.0/37230.0 days/days; walltime: 5.6
36620.0/37230.0 days/days; walltime: 6.2
36621.0/37230.0 days/days; walltime: 8.6
36622.0/37230.0 days/days; walltime: 11.6
36623.0/37230.0 days/days; walltime: 18.7
36624.0/37230.0 days/days; walltime: 25.1
36625.0/37230.0 days/days; walltime: 33.7
36626.0/37230.0 days/days; walltime: 29.9
36627.0/37230.0 days/days; walltime: 52.2
36628.0/37230.0 days/days; walltime: 43.2
36629.0/37230.0 days/days; walltime: 44.5
36630.0/37230.0 days/days; walltime: 46.9
36631.0/37230.0 days/days; walltime: 46.9
36632.0/37230.0 days/days; walltime: 62.4
36633.0/37230.0 days/days; walltime: 48.3
36634.0/37230.0 days/days; walltime: 52.1
36635.0/37230.0 days/days; walltime: 48.3
36636.0/37230.0 days/days; walltime: 39.3
36637.0/37230.0 days/days; walltime: 54.4
36638.0/37230.0 days/days; walltime: 44.1
36639.0/37230.0 days/days; walltime: 35.5
36640.0/37230.0 days/days; walltime: 37.8
36641.0/37230.0 days/days; walltime: 41.4
36642.0/37230.0 days/days; walltime: 40.2
36643.0/37230.0 days/days; walltime: 38.0
36644.0/37230.0 days/days; walltime: 32.3
36645.0/37230.0 days/days; walltime: 41.9
36646.0/37230.0 days/days; walltime: 40.0
36647.0/37230.0 days/days; walltime: 40.8
36648.0/37230.0 days/days; walltime: 53.6
36649.0/37230.0 days/days; walltime: 47.2
36650.0/37230.0 days/days; walltime: 40.4
36651.0/37230.0 days/days; walltime: 39.6
36652.0/37230.0 days/days; walltime: 41.6
36653.0/37230.0 days/days; walltime: 42.0
36654.0/37230.0 days/days; walltime: 35.9
36655.0/37230.0 days/days; walltime: 37.7
36656.0/37230.0 days/days; walltime: 41.4
36657.0/37230.0 days/days; walltime: 39.6
36658.0/37230.0 days/days; walltime: 53.5
36659.0/37230.0 days/days; walltime: 19.6
36660.0/37230.0 days/days; walltime: 14.0
36661.0/37230.0 days/days; walltime: 9.2
36662.0/37230.0 days/days; walltime: 6.8
36663.0/37230.0 days/days; walltime: 14.6
36664.0/37230.0 days/days; walltime: 4.4
36665.0/37230.0 days/days; walltime: 6.4
36666.0/37230.0 days/days; walltime: 7.2
36667.0/37230.0 days/days; walltime: 15.8
36668.0/37230.0 days/days; walltime: 12.4
36669.0/37230.0 days/days; walltime: 10.0
36670.0/37230.0 days/days; walltime: 12.5
36671.0/37230.0 days/days; walltime: 10.2
36672.0/37230.0 days/days; walltime: 7.0
36673.0/37230.0 days/days; walltime: 9.3
36674.0/37230.0 days/days; walltime: 9.6
36675.0/37230.0 days/days; walltime: 5.7
36676.0/37230.0 days/days; walltime: 7.0
36677.0/37230.0 days/days; walltime: 8.7
36678.0/37230.0 days/days; walltime: 15.2
36679.0/37230.0 days/days; walltime: 18.1
36680.0/37230.0 days/days; walltime: 1.3
36681.0/37230.0 days/days; walltime: 3.7
36682.0/37230.0 days/days; walltime: 1.1
36683.0/37230.0 days/days; walltime: 0.8
36684.0/37230.0 days/days; walltime: 2.5
36685.0/37230.0 days/days; walltime: 0.7
36686.0/37230.0 days/days; walltime: 0.8
36687.0/37230.0 days/days; walltime: 1.2
36688.0/37230.0 days/days; walltime: 1.1
36689.0/37230.0 days/days; walltime: 1.3
36690.0/37230.0 days/days; walltime: 1.4
36691.0/37230.0 days/days; walltime: 2.9
36692.0/37230.0 days/days; walltime: 3.1
36693.0/37230.0 days/days; walltime: 5.0
36694.0/37230.0 days/days; walltime: 8.2
36695.0/37230.0 days/days; walltime: 9.0
36696.0/37230.0 days/days; walltime: 7.0
36697.0/37230.0 days/days; walltime: 6.2
36698.0/37230.0 days/days; walltime: 8.1
36699.0/37230.0 days/days; walltime: 5.4
36700.0/37230.0 days/days; walltime: 4.3
36701.0/37230.0 days/days; walltime: 1.9
36702.0/37230.0 days/days; walltime: 1.6
36703.0/37230.0 days/days; walltime: 2.6
36704.0/37230.0 days/days; walltime: 3.8
36705.0/37230.0 days/days; walltime: 13.1
36706.0/37230.0 days/days; walltime: 5.5
36707.0/37230.0 days/days; walltime: 7.6
36708.0/37230.0 days/days; walltime: 5.2
36709.0/37230.0 days/days; walltime: 9.2
36710.0/37230.0 days/days; walltime: 5.4
36711.0/37230.0 days/days; walltime: 8.5
36712.0/37230.0 days/days; walltime: 6.2
36713.0/37230.0 days/days; walltime: 5.3
36714.0/37230.0 days/days; walltime: 8.4
36715.0/37230.0 days/days; walltime: 6.9
36716.0/37230.0 days/days; walltime: 4.2
36717.0/37230.0 days/days; walltime: 8.3
36718.0/37230.0 days/days; walltime: 9.1
36719.0/37230.0 days/days; walltime: 6.0
36720.0/37230.0 days/days; walltime: 5.0
36721.0/37230.0 days/days; walltime: 8.5
36722.0/37230.0 days/days; walltime: 16.7
36723.0/37230.0 days/days; walltime: 5.5
36724.0/37230.0 days/days; walltime: 7.9
36725.0/37230.0 days/days; walltime: 12.7
36726.0/37230.0 days/days; walltime: 6.7
36727.0/37230.0 days/days; walltime: 8.8
36728.0/37230.0 days/days; walltime: 9.9
36729.0/37230.0 days/days; walltime: 6.7
36730.0/37230.0 days/days; walltime: 8.2
36731.0/37230.0 days/days; walltime: 8.1
36732.0/37230.0 days/days; walltime: 8.9
36733.0/37230.0 days/days; walltime: 12.7
36734.0/37230.0 days/days; walltime: 8.0
36735.0/37230.0 days/days; walltime: 17.0
36736.0/37230.0 days/days; walltime: 7.4
36737.0/37230.0 days/days; walltime: 10.5
36738.0/37230.0 days/days; walltime: 10.2
36739.0/37230.0 days/days; walltime: 24.0
